Outcome,Weekend,Age Group,Unvaccinated Rate,Vaccinated Rate,Boosted Rate,Crude Vaccinated Ratio,Crude Boosted Ratio,Age-Adjusted Unvaccinated Rate,Age-Adjusted Vaccinated Rate,Age-Adjusted Boosted Rate,Age-Adjusted Vaccinated Ratio,Age-Adjusted Boosted Ratio,Population Unvaccinated,Population Vaccinated,Population Boosted,Outcome Unvaccinated,Outcome Vaccinated,Outcome Boosted,Age Group Min,Age Group Max
Cases,11-12-22,0_4,82.4,5.5,0,15,0,0,0,0,0,0,162642,0,0,134,9,0,0,4
Hospitalizations,10-01-22,50_64,10.3,3.2,4.9,3.2,2.1,0,0,0,0,0,39014,125154,246575,4,4,12,50,64
Deaths,07-09-22,0_4,0,0,0,0,0,0,0,0,0,0,162642,0,0,0,0,0,0,4
Hospitalizations,17-09-22,80+,19.2,87.9,46.8,0.2,0.4,0,0,0,0,0,26096,11381,47028,5,10,22,80,200
Deaths,26-11-22,5_11,0,0,0,0,0,0,0,0,0,0,93076,81025,21098,0,0,0,5,11
Deaths,15-07-23,0_4,0,0,0,0,0,0,0,0,0,0,162642,0,0,0,0,0,0,4
Deaths,18-12-21,30_49,3.4,0.5,0,6.8,0,0,0,0,0,0,176574,429933,147317,6,2,0,30,49
Deaths,11-04-23,65_79,2.6,0,0.6,0,4.3,0,0,0,0,0,37857,44044,172280,1,0,1,65,79
Cases,18-02-23,65_79,129.6,126.7,106.6,1,1.2,0,0,0,0,0,40129,43398,171695,52,55,183,65,79
Hospitalizations,29-07-23,All,1.9,1.2,2.5,1.6,0.8,2.8,2.6,1.7,1.1,1.7,530107,860315,1040772,10,10,26,999,999
Hospitalizations,09-09-23,50_64,0,6.4,3.2,0,0,0,0,0,0,0,32271,125723,246940,0,8,8,50,64
Cases,15-10-22,5_11,81.6,80.4,78.9,1,1,0,0,0,0,0,94329,80849,20269,77,65,16,5,11
Cases,10-09-21,65_79,92.7,41.3,0,2.2,0,0,0,0,0,0,61521,191460,0,57,79,0,65,79
Hospitalizations,13-08-22,0_4,7.4,0,0,0,0,0,0,0,0,0,162642,0,0,12,0,0,0,4
Hospitalizations,04-02-22,65_79,8.3,9.7,1.3,0.9,6.4,0,0,0,0,0,48452,51564,159143,4,5,2,65,79
Hospitalizations,22-07-23,5_11,0,0,0,0,0,0,0,0,0,0,90050,82668,21259,0,0,0,5,11
Hospitalizations,26-02-22,50_64,12.8,5.5,3.2,2.3,4,0,0,0,0,0,46700,145752,217214,6,8,7,50,64
Cases,05-01-21,All,200.5,20.6,0,9.7,0,215.3,16,0,13.5,0,1471355,709078,0,2950,146,0,999,999
Cases,12-02-23,80+,83.7,102.9,143.5,0.8,0.6,0,0,0,0,0,23883,11658,47387,20,12,68,80,200
Cases,24-12-22,65_79,215.7,156.8,225.4,1.4,1,0,0,0,0,0,40797,43362,171663,88,68,387,65,79
Hospitalizations,14-10-23,5_11,0,0,0,0,0,0,0,0,0,0,89235,82644,21300,0,0,0,5,11
Hospitalizations,19-08-23,All,5.5,1.3,4,4.2,1.4,6.3,2,2.8,3.2,2.2,528293,860304,1040794,29,11,42,999,999
Cases,18-02-23,80+,81,219.7,218.6,0.4,0.4,0,0,0,0,0,24700,11377,47122,20,25,103,80,200
Hospitalizations,18-06-22,30_49,19.5,3.9,4.7,5,4.1,0,0,0,0,0,128401,281885,338011,25,11,16,30,49
Deaths,23-07-22,1_12,0,0,0,0,0,0,0,0,0,0,36073,90284,39015,0,0,0,12,17
Deaths,27-08-22,5_11,0,0,0,0,0,0,0,0,0,0,95812,83661,15377,0,0,0,5,11
Hospitalizations,27-05-23,50_64,6.1,0.8,1.6,7.6,3.8,0,0,0,0,0,32906,125743,246912,2,1,4,50,64
Deaths,28-10-23,50_64,0,0.8,0,0,0,0,0,0,0,0,30857,125795,247425,0,1,0,50,64
Hospitalizations,24-12-22,0_4,4.9,0,0,0,0,0,0,0,0,0,162642,0,0,8,0,0,0,4
Hospitalizations,22-07-23,65_79,10.2,2.3,4.1,4.4,2.5,0,0,0,0,0,39318,43421,171748,4,1,7,65,79
Deaths,08-12-23,50_64,0,0,0,0,0,0,0,0,0,0,32441,125727,246935,0,0,0,50,64
Deaths,26-08-23,65_79,2.6,0,0,0,0,0,0,0,0,0,39187,43414,171755,1,0,0,65,79
Hospitalizations,26-03-22,80+,3.7,14.2,7,0.3,0.5,0,0,0,0,0,27071,14053,43109,1,2,3,80,200
Deaths,30-10-21,All,1.3,0.6,0,2.2,0,2.2,0.5,0,4.3,0,968843,1483650,92473,13,9,0,999,999
Hospitalizations,19-11-22,30_49,16.4,2.5,2.6,6.6,6.3,0,0,0,0,0,115941,276754,347089,19,7,9,30,49
Deaths,09-11-21,18_29,0,0,0,0,0,0,0,0,0,0,185405,298401,0,0,0,0,18,29
Deaths,02-05-22,50_64,28.7,5.7,0.5,5,57.4,0,0,0,0,0,48776,157818,201587,14,9,1,50,64
Hospitalizations,23-09-23,30_49,9.4,0.7,0.6,13.4,15.7,0,0,0,0,0,106401,278395,347328,10,2,2,30,49
Cases,29-07-23,50_64,46.1,22.3,27.5,2.1,1.7,0,0,0,0,0,32542,125729,246933,15,28,68,50,64
Cases,08-05-23,50_64,67.7,13.5,27.5,5,2.5,0,0,0,0,0,32496,125728,246934,22,17,68,50,64
Cases,18-12-21,18_29,1706.3,970.4,1042.6,1.8,1.6,0,0,0,0,0,143348,288118,46808,2446,2796,488,18,29
Cases,03-04-23,65_79,127.4,108.3,115.3,1.2,1.1,0,0,0,0,0,40040,43409,171702,51,47,198,65,79
Hospitalizations,12-04-21,50_64,112.1,12.9,3.8,8.7,29.5,0,0,0,0,0,64234,270486,79047,72,35,3,50,64
Cases,31-12-22,1_12,65.3,23.2,49.4,2.8,1.3,0,0,0,0,0,33668,86208,44537,22,20,22,12,17
Hospitalizations,11-05-22,5_11,1.1,1.2,0,0.9,0,0,0,0,0,0,93672,80665,21005,1,1,0,5,11
Cases,26-03-22,30_49,73.6,44.2,112.4,1.7,0.7,0,0,0,0,0,133230,291909,322847,98,129,363,30,49
Cases,29-04-23,50_64,114.5,31,36.5,3.7,3.1,0,0,0,0,0,33180,125733,246904,38,39,90,50,64
Cases,19-06-21,1_12,15.7,0,0,0,0,0,0,0,0,0,114743,24556,0,18,0,0,12,17
Deaths,13-11-21,80+,13.6,9.9,0,1.4,0,0,0,0,0,0,29306,40458,14603,4,4,0,80,200
Hospitalizations,25-02-23,18_29,5.2,0.9,1.2,5.8,4.3,0,0,0,0,0,76945,213529,161651,4,2,2,18,29
Hospitalizations,16-04-22,1_12,0,0,3.1,0,0,0,0,0,0,0,37876,95178,32264,0,0,1,12,17
Deaths,19-02-22,All,2.8,1,0.8,2.8,3.5,3.3,1.5,0.5,2.3,6.8,677481,910869,868745,19,9,7,999,999
Cases,08-05-23,30_49,34.4,15.1,23.9,2.3,1.4,0,0,0,0,0,107409,278402,347313,37,42,83,30,49
Cases,10-09-21,All,143.6,52.3,0,2.7,0,161,42.2,0,3.8,0,998664,1519169,0,1434,794,0,999,999
Hospitalizations,26-02-22,All,6.4,3.1,3.8,2.1,1.7,8,4,2.5,2,3.2,671890,908056,888098,43,28,34,999,999
Deaths,04-09-22,30_49,0,0,0,0,0,0,0,0,0,0,132219,289629,326607,0,0,0,30,49
Hospitalizations,14-01-23,1_12,9,0,2.2,0,4.1,0,0,0,0,0,33518,86264,44538,3,0,1,12,17
Cases,15-04-23,1_12,64,28.9,40.4,2.2,1.6,0,0,0,0,0,32822,86525,44572,21,25,18,12,17
Cases,26-06-21,50_64,16.1,5.4,0,3,0,0,0,0,0,0,111605,294901,0,18,16,0,50,64
Cases,13-05-23,5_11,74.9,37.5,23.5,2,3.2,0,0,0,0,0,90743,82680,21241,68,31,5,5,11
Hospitalizations,07-02-22,50_64,31,10,7.5,3.1,4.1,0,0,0,0,0,41916,129677,240221,13,13,18,50,64
Cases,22-07-23,18_29,39.2,5.6,10.5,7,3.7,0,0,0,0,0,73902,214135,161709,29,12,17,18,29
Hospitalizations,09-11-21,80+,60.8,22.6,0,2.7,0,0,0,0,0,0,31257,53008,0,19,12,0,80,200
Deaths,15-10-22,0_4,0,0,0,0,0,0,0,0,0,0,162642,0,0,0,0,0,0,4
Cases,26-02-22,0_4,54.1,0,0,0,0,0,0,0,0,0,162642,0,0,88,0,0,0,4
Cases,22-07-23,0_4,17.2,1.8,0,9.6,0,0,0,0,0,0,162642,0,0,28,3,0,0,4
Cases,21-10-23,80+,41.3,69.7,108.1,0.6,0.4,0,0,0,0,0,24189,11483,47191,10,8,51,80,200
Cases,10-09-21,1_12,229.4,17.7,0,13,0,0,0,0,0,0,67139,95783,0,154,17,0,12,17
Deaths,23-07-22,65_79,2.2,2.2,0.6,1,3.7,0,0,0,0,0,46080,45341,168622,1,1,1,65,79
Deaths,30-07-22,30_49,1.6,0,0,0,0,0,0,0,0,0,126589,278749,342597,2,0,0,30,49
Deaths,15-04-23,50_64,0,0,0,0,0,0,0,0,0,0,33349,125709,246898,0,0,0,50,64
Deaths,10-09-21,1_12,0,0,0,0,0,0,0,0,0,0,67139,95783,0,0,0,0,12,17
Deaths,13-08-22,5_11,0,0,0,0,0,0,0,0,0,0,96738,85405,12921,0,0,0,5,11
Hospitalizations,06-03-23,50_64,6.1,0.8,0.8,7.6,7.6,0,0,0,0,0,32855,125745,246913,2,1,2,50,64
Deaths,25-03-23,18_29,0,0,0,0,0,0,0,0,0,0,76243,213785,161673,0,0,0,18,29
Deaths,19-11-22,0_4,0,0,0,0,0,0,0,0,0,0,162642,0,0,0,0,0,0,4
Cases,04-10-21,1_12,200,0,0,0,0,0,0,0,0,0,177522,0,0,355,0,0,12,17
Cases,20-05-23,80+,36.6,8.8,42.4,4.2,0.9,0,0,0,0,0,24557,11384,47128,9,1,20,80,200
Cases,30-04-22,30_49,219.1,136.2,326.1,1.6,0.7,0,0,0,0,0,130975,287056,330602,287,391,1078,30,49
Cases,08-07-21,18_29,250,102.2,0,2.4,0,0,0,0,0,0,206013,282729,0,515,289,0,18,29
Cases,11-05-22,65_79,175,131.6,120.7,1.3,1.4,0,0,0,0,0,42281,43326,171562,74,57,207,65,79
Cases,07-08-23,80+,4.1,17.6,33.9,0.2,0.1,0,0,0,0,0,24498,11383,47130,1,2,16,80,200
Cases,05-07-22,0_4,178.3,0,0,0,0,0,0,0,0,0,162642,0,0,290,0,0,0,4
Cases,30-09-23,65_79,61.7,62.2,55.9,1,1.1,0,0,0,0,0,38891,43410,171762,24,27,96,65,79
Cases,17-09-22,30_49,168.7,65.6,110.1,2.6,1.5,0,0,0,0,0,123875,275892,346825,209,181,382,30,49
Deaths,31-12-22,0_4,0,0,0,0,0,0,0,0,0,0,162642,0,0,0,0,0,0,4
Deaths,23-07-22,18_29,0,0,0,0,0,0,0,0,0,0,92731,213642,157475,0,0,0,18,29
Deaths,01-08-22,18_29,0.8,0.4,0,2,0,0,0,0,0,0,128651,256042,83774,1,1,0,18,29
Hospitalizations,02-04-23,50_64,14.6,6.4,8.5,2.3,1.7,0,0,0,0,0,34169,125516,246849,5,8,21,50,64
Cases,19-11-22,5_11,127.6,127.4,142.4,1,0.9,0,0,0,0,0,93236,80867,21068,119,103,30,5,11
Hospitalizations,26-11-22,All,14.3,6.2,10,2.3,1.4,18.6,10,7.2,1.9,2.6,565402,850149,1039743,81,53,104,999,999
Deaths,01-07-23,30_49,0,0,0.3,0,0,0,0,0,0,0,112744,277305,347207,0,0,1,30,49
Cases,21-08-21,18_29,274.7,104.6,0,2.6,0,0,0,0,0,0,197658,288634,0,543,302,0,18,29
Deaths,23-09-23,All,0.4,0,0.2,0,2,0.3,0,0.1,0,2,525521,860278,1040840,2,0,2,999,999
Deaths,20-08-22,80+,11.4,17.3,6.4,0.7,1.8,0,0,0,0,0,26236,11583,46759,3,2,3,80,200
Deaths,16-04-22,50_64,4.5,0,0,0,0,0,0,0,0,0,44596,136888,229793,2,0,0,50,64
Hospitalizations,08-05-23,18_29,1.4,0.5,0,2.8,0,0,0,0,0,0,73686,214134,161713,1,1,0,18,29
Hospitalizations,09-10-22,0_4,3.7,0,0,0,0,0,0,0,0,0,162642,0,0,6,0,0,0,4
Deaths,10-01-22,5_11,0,0,0,0,0,0,0,0,0,0,94700,81441,19254,0,0,0,5,11
Hospitalizations,11-06-21,30_49,13.5,1.1,0,12.3,0,0,0,0,0,0,199928,527699,31898,27,6,0,30,49
Cases,10-02-21,All,158.9,56.5,0,2.8,0,179.5,45.8,0,3.9,0,1009399,1510653,0,1604,853,0,999,999
Cases,01-08-22,30_49,2614,1690.1,1349.3,1.5,1.9,0,0,0,0,0,161589,361224,223160,4224,6105,3011,30,49
Deaths,07-03-21,50_64,1.8,0,0,0,0,0,0,0,0,0,109144,300501,0,2,0,0,50,64
Cases,28-05-22,65_79,169.9,181.4,220.3,0.9,0.8,0,0,0,0,0,47077,47959,164773,80,87,363,65,79
Hospitalizations,10-09-21,1_12,0,0,0,0,0,0,0,0,0,0,67139,95783,0,0,0,0,12,17
Deaths,05-07-22,65_79,2.1,2,0,1,0,0,0,0,0,0,47611,49260,162746,1,1,0,65,79
Deaths,01-08-22,50_64,43.8,7.2,0.6,6.1,73,0,0,0,0,0,54811,194317,160841,24,14,1,50,64
Deaths,27-05-23,50_64,0,0,0,0,0,0,0,0,0,0,32906,125743,246912,0,0,0,50,64
Hospitalizations,21-10-23,30_49,2.9,1.1,0.9,2.6,3.2,0,0,0,0,0,103249,278946,347858,3,3,3,30,49
Deaths,16-04-22,1_12,0,0,0,0,0,0,0,0,0,0,37876,95178,32264,0,0,0,12,17
Hospitalizations,29-10-22,18_29,7.1,0.5,2.5,14.2,2.8,0,0,0,0,0,84477,212127,161526,6,1,4,18,29
Deaths,11-05-22,80+,4,8.8,2.1,0.5,1.9,0,0,0,0,0,25236,11367,47086,1,1,1,80,200
Deaths,26-06-21,80+,3,0,0,0,0,0,0,0,0,0,33591,50911,0,1,0,0,80,200
Deaths,28-05-22,5_11,0,0,0,0,0,0,0,0,0,0,100718,94665,418,0,0,0,5,11
Hospitalizations,02-05-22,18_29,6.5,2.2,0.8,3,8.1,0,0,0,0,0,108394,225478,122651,7,5,1,18,29
Hospitalizations,14-10-23,65_79,26,16.1,12.2,1.6,2.1,0,0,0,0,0,38416,43494,171905,10,7,21,65,79
Cases,27-08-22,5_11,129.4,89.6,117.1,1.4,1.1,0,0,0,0,0,95812,83661,15377,124,75,18,5,11
Deaths,04-08-23,65_79,0,0,0,0,0,0,0,0,0,0,39837,43431,171716,0,0,0,65,79
Cases,20-11-21,80+,106.8,179,16.3,0.6,6.6,0,0,0,0,0,29022,36868,18401,31,66,3,80,200
Hospitalizations,14-08-21,18_29,9.4,0.4,0,23.5,0,0,0,0,0,0,201742,285632,0,19,1,0,18,29
Deaths,19-06-21,All,1.2,0.2,0,6,0,1.8,0.1,0,17.8,0,1238489,1241729,0,15,2,0,999,999
Cases,19-06-21,18_29,21.5,3.7,0,5.8,0,0,0,0,0,0,232120,245040,0,50,9,0,18,29
Cases,28-01-23,All,121.4,74.1,87,1.6,1.4,135.8,75.1,91.3,1.8,1.5,549564,855718,1040296,667,634,905,999,999
Hospitalizations,01-01-22,5_11,6.5,0,0,0,0,0,0,0,0,0,138684,43394,0,9,0,0,5,11
Hospitalizations,16-07-22,1_12,5.5,1.1,2.6,5,2.1,0,0,0,0,0,36204,90674,38517,2,1,1,12,17
Cases,07-09-22,5_11,81.8,107.7,115.4,0.8,0.7,0,0,0,0,0,98989,89156,7798,81,96,9,5,11
Cases,13-08-22,0_4,160.5,1.2,0,133.8,0,0,0,0,0,0,162642,0,0,261,2,0,0,4
Deaths,03-11-23,All,0.2,0.2,0,1,0,0.1,0.2,0,0.6,0,543537,858035,1040472,1,2,0,999,999
Hospitalizations,12-11-21,1_12,8.7,0.9,0,9.7,0,0,0,0,0,0,57433,105995,469,5,1,0,12,17
Hospitalizations,06-10-23,80+,8.2,0,8.5,0,1,0,0,0,0,0,24522,11383,47130,2,0,4,80,200
Cases,05-01-21,18_29,241.2,21.3,0,11.3,0,0,0,0,0,0,284798,107854,0,687,23,0,18,29
Deaths,10-02-21,All,3,0.3,0,10,0,4.2,0.3,0,16.2,0,1009399,1510653,0,30,5,0,999,999
Deaths,07-09-22,80+,7.6,8.3,4.3,0.9,1.8,0,0,0,0,0,26425,12088,46042,2,1,2,80,200
Hospitalizations,27-05-23,5_11,0,0,0,0,0,0,0,0,0,0,90605,82681,21243,0,0,0,5,11
Deaths,23-07-22,5_11,0,0,0,0,0,0,0,0,0,0,98178,87751,9749,0,0,0,5,11
Cases,02-12-22,1_12,172.3,84.5,36.7,2,4.7,0,0,0,0,0,41212,95886,21795,71,81,8,12,17
Hospitalizations,12-11-21,All,37.1,10.3,2.9,3.6,12.8,55.2,10.6,1.5,5.2,37.8,847199,1247588,380994,314,129,11,999,999
Hospitalizations,10-09-21,80+,32.8,15.3,0,2.1,0,0,0,0,0,0,30481,52266,0,10,8,0,80,200
Hospitalizations,11-04-23,5_11,0,0,0,0,0,0,0,0,0,0,88776,82330,21744,0,0,0,5,11
Deaths,14-10-23,5_11,0,0,0,0,0,0,0,0,0,0,89235,82644,21300,0,0,0,5,11
Hospitalizations,24-12-22,65_79,34.3,25.4,26.8,1.4,1.3,0,0,0,0,0,40797,43362,171663,14,11,46,65,79
Cases,04-08-23,80+,28.4,96.6,106.1,0.3,0.3,0,0,0,0,0,24622,11383,47126,7,11,50,80,200
Cases,19-02-22,0_4,77.5,0,0,0,0,0,0,0,0,0,162642,0,0,126,0,0,0,4
Hospitalizations,06-11-22,5_11,0,0,0,0,0,0,0,0,0,0,100172,93140,2658,0,0,0,5,11
Cases,03-05-22,1_12,79.1,21.9,18.2,3.6,4.3,0,0,0,0,0,39213,95932,27517,31,21,5,12,17
Cases,26-06-21,30_49,24.2,5,0,4.8,0,0,0,0,0,0,289323,463639,0,70,23,0,30,49
Cases,03-05-22,50_64,71.2,26.4,31.4,2.7,2.3,0,0,0,0,0,46352,143917,219986,33,38,69,50,64
Cases,03-12-22,18_29,58.7,19.5,56.3,3,1,0,0,0,0,0,100487,221043,142046,59,43,80,18,29
Hospitalizations,10-02-21,30_49,17.4,0.6,0,29,0,0,0,0,0,0,218778,533019,0,38,3,0,30,49
Deaths,04-08-23,1_12,0,0,0,0,0,0,0,0,0,0,32887,86505,44571,0,0,0,12,17
Hospitalizations,23-07-22,80+,49.3,117.2,47.6,0.4,1,0,0,0,0,0,26357,11946,46252,13,14,22,80,200
Cases,18-02-23,30_49,127.9,62.3,81.8,2.1,1.6,0,0,0,0,0,110993,277757,347252,142,173,284,30,49
Hospitalizations,30-04-22,65_79,23.1,14.1,8.6,1.6,2.7,0,0,0,0,0,47714,49691,162052,11,7,14,65,79
Hospitalizations,30-04-22,18_29,3.1,2.3,2,1.3,1.6,0,0,0,0,0,96979,218010,150062,3,5,3,18,29
Deaths,26-08-23,1_12,0,0,0,0,0,0,0,0,0,0,31822,86575,44594,0,0,0,12,17
Hospitalizations,21-08-21,1_12,4.9,0,0,0,0,0,0,0,0,0,81744,72763,0,4,0,0,12,17
Hospitalizations,07-02-22,18_29,5.3,4.2,1.3,1.3,4.1,0,0,0,0,0,93769,214617,155854,5,9,2,18,29
Hospitalizations,17-07-21,80+,12.1,0,0,0,0,0,0,0,0,0,33027,51912,0,4,0,0,80,200
Cases,09-10-22,All,167.8,88.8,134.1,1.9,1.3,202.3,88.2,121.5,2.3,1.7,602393,841160,1033881,1011,747,1386,999,999
Cases,06-11-22,18_29,329.7,139.6,302.8,2.4,1.1,0,0,0,0,0,94634,215581,154206,312,301,467,18,29
Deaths,27-11-21,65_79,17.9,3.3,0,5.4,0,0,0,0,0,0,55747,122640,81384,10,4,0,65,79
Cases,16-04-22,5_11,45.8,124.4,0,0.4,0,0,0,0,0,0,102695,92456,0,47,115,0,5,11
Deaths,24-12-22,50_64,2.9,0,0,0,0,0,0,0,0,0,35058,125409,246789,1,0,0,50,64
Cases,22-01-22,30_49,690.6,420.1,451.1,1.6,1.5,0,0,0,0,0,149571,332274,256937,1033,1396,1159,30,49
Cases,25-06-22,50_64,432.4,159.9,237.1,2.7,1.8,0,0,0,0,0,42094,130098,239606,182,208,568,50,64
Hospitalizations,20-05-23,0_4,1.2,0,0,0,0,0,0,0,0,0,162642,0,0,2,0,0,0,4
Hospitalizations,16-04-22,18_29,6.1,2.3,0,2.7,0,0,0,0,0,0,97780,218922,148408,6,5,0,18,29
Cases,06-04-22,18_29,390.5,144,341.8,2.7,1.1,0,0,0,0,0,94995,215928,153584,371,311,525,18,29
Cases,08-06-22,5_11,111.1,117.2,118.2,0.9,0.9,0,0,0,0,0,97222,86190,11845,108,101,14,5,11
Cases,01-08-22,50_64,3690.9,1569.6,1102.3,2.4,3.3,0,0,0,0,0,54811,194317,160841,2023,3050,1773,50,64
Deaths,25-09-21,30_49,4,0.2,0,20,0,0,0,0,0,0,223214,528608,0,9,1,0,30,49
Cases,12-03-22,0_4,129.1,3.7,0,34.9,0,0,0,0,0,0,162642,0,0,210,6,0,0,4
Hospitalizations,09-11-21,65_79,35.6,9.3,0,3.8,0,0,0,0,0,0,64570,194208,0,23,18,0,65,79
Hospitalizations,06-12-21,30_49,8.7,0,0,0,0,0,0,0,0,0,300339,438852,0,26,0,0,30,49
Hospitalizations,03-05-22,80+,18.4,20.6,11.8,0.9,1.6,0,0,0,0,0,27168,14574,42437,5,3,5,80,200
Deaths,15-04-23,All,0,0,0.3,0,0,0,0,0.2,0,0,539653,859628,1040581,0,0,3,999,999
Deaths,17-09-22,0_4,0,0,0,0,0,0,0,0,0,0,162642,0,0,0,0,0,0,4
Deaths,14-08-21,18_29,0,0,0,0,0,0,0,0,0,0,201742,285632,0,0,0,0,18,29
Hospitalizations,02-11-23,1_12,0,0,0,0,0,0,0,0,0,0,33305,86332,44556,0,0,0,12,17
Deaths,15-05-21,1_12,0.7,0,0,0,0,0,0,0,0,0,152721,0,0,1,0,0,12,17
Hospitalizations,12-11-21,0_4,3.1,0,0,0,0,0,0,0,0,0,162642,0,0,5,0,0,0,4
Cases,14-01-23,0_4,82.4,4.3,0,19.2,0,0,0,0,0,0,162642,0,0,134,7,0,0,4
Hospitalizations,08-05-23,5_11,0,0,0,0,0,0,0,0,0,0,89877,82672,21260,0,0,0,5,11
Cases,09-11-21,30_49,238.1,78.9,0,3,0,0,0,0,0,0,232678,520775,0,554,411,0,30,49
Cases,14-08-21,18_29,282,127.8,0,2.2,0,0,0,0,0,0,201742,285632,0,569,365,0,18,29
Cases,21-01-23,65_79,153.6,103.7,132.8,1.5,1.2,0,0,0,0,0,40373,43379,171682,62,45,228,65,79
Hospitalizations,10-08-22,80+,38.9,70.3,42.5,0.6,0.9,0,0,0,0,0,25733,11377,47048,10,8,20,80,200
Cases,03-05-22,80+,25.8,41.2,33,0.6,0.8,0,0,0,0,0,27168,14574,42437,7,6,14,80,200
Deaths,09-03-22,5_11,0,0,0,0,0,0,0,0,0,0,95528,82574,16920,0,0,0,5,11
Hospitalizations,11-12-22,30_49,13.7,2.2,2.9,6.2,4.7,0,0,0,0,0,116651,276645,347072,16,6,10,30,49
Hospitalizations,16-10-21,65_79,32.9,8.7,0,3.8,0,0,0,0,0,0,60852,182996,0,20,16,0,65,79
